,c,gamma,h1,h2,t_m1,t_m2,h_ratio,t_delta,h_ratio if h_ratio>6
0,1.0,0.001,0.0202755151,0.0212784769,0.00475282796,0.00241110105,104.175298,0.00930349116,1014.40256
1,1.0,0.01,0.0167816694,0.016656385,0.00186589808,0.000876449862,0.20265582,0.00331772663,1.41995344
2,1.0,0.1,0.0152031447,0.0152421529,0.00134407752,0.000739148009,0.1264594,0.00242298974,0.868686678
3,1.0,1.0,0.0222291538,0.0211934633,0.00109088007,0.000628561236,0.262664109,0.001661825,1.7795629
4,1.0,5.0,0.0716793817,0.0621029651,0.00474141601,0.00435146339,0.580524379,0.00458162578,5.05856196
5,10.0,0.001,0.0178655253,0.0176772615,0.00257035747,0.00103330219,0.978621312,0.00431577152,8.71669592
6,10.0,0.01,0.0158014963,0.0159087003,0.00145605813,0.000794209176,0.173289192,0.00273254814,1.19590482
7,10.0,0.1,0.0159201491,0.0162308457,0.00118529223,0.000646797462,55.6479672,0.00194703549,541.954311
8,10.0,1.0,0.0380434108,0.0377556452,0.00109727642,0.000620174108,12.5911786,0.0016676332,3.05787059
9,10.0,5.0,0.0762435177,0.0677881849,0.0052158282,0.00475175939,0.637143468,0.00547152633,4.97476869
10,100.0,0.001,0.0167374003,0.0166280716,0.00193568805,0.000920241477,0.24070705,0.00346926796,1.62746957
11,100.0,0.01,0.0153334272,0.0154301807,0.00135723428,0.000741165832,0.16044669,0.00242132975,1.10356108
12,100.0,0.1,0.0170182968,0.0168961307,0.00106984766,0.000560741076,0.284351836,0.00156454653,2.39400791
13,100.0,1.0,0.0975446298,0.096981218,0.00157109452,0.000924250813,11.4176142,0.00219882812,75.0790279
14,100.0,5.0,0.0828841,0.0749820079,0.00615089795,0.00560424258,0.683456896,0.00655644262,5.0863369
15,1000.0,0.001,0.0161075968,0.0161208021,0.00148317978,0.000806134114,3.52997688,0.00276154575,33.8712734
16,1000.0,0.01,0.0151298963,0.0151207185,0.00126606133,0.000682726367,0.137492063,0.00209697906,0.930710533
17,1000.0,0.1,0.0228307796,0.0220164157,0.00103015473,0.000534440846,1.31303616,0.00147922027,9.01551923
18,1000.0,1.0,0.398518365,0.394183056,0.00272648852,0.00172019609,14.2183954,0.00342220301,121.978521
19,1000.0,5.0,0.0828841,0.0749822394,0.00664560858,0.00574578112,0.6833636,0.00670190068,5.08602393
20,10000.0,0.001,0.0157085025,0.0157754147,0.00145062663,0.00103130129,0.678967368,0.003110696,6.05239808
